Time,Event,Start_channel1,Start_channel2,Start_channel3,Start_channel4,Energy_ch1,Energy_ch2,Energy_ch3,Energy_ch4,Adjusted_load,delta_t,Loc,Adjusted_Stress_MPa
194.527,8,22.7,21.4,21.9,21,0.1958,1.1859,1.2113,2.4513,31.64554683,1.3,-6.395779615,134.0913001
196.513,9,22.1,23.1,21.2,22.9,0.1014,0.4572,0.5588,0.8594,34.96074683,1,4.908193134,148.1387578
199.202,10,16.8,17.7,16.1,17.4,0.0141,0.0984,0.0967,0.1217,38.81354683,0.9,4.406949648,164.4641815
200.503,11,21.9,20.2,21.1,19.9,0.0252,0.1253,0.1825,0.2601,37.15594683,1.7,-8.304640829,157.4404527
201.253,12,23.2,22.8,22.6,22.5,0.1274,2.2963,0.9948,2.98,42.17354683,0.4,-1.949443645,178.7014696
202.452,13,15.8,14.3,15.1,14,0.0074,0.0561,0.0854,0.1151,43.29354683,1.5,-7.293283735,183.4472323
203.479,14,21.9,22.1,21.2,21.8,0.0725,0.4179,0.3404,0.4669,44.81674683,0.2,0.970164519,189.9014696
205.326,15,13.9,14.8,13.1,14.6,0.0126,0.0363,0.0987,0.0983,46.96714683,0.9,4.355558147,199.013334
206.496,16,22,22,21.2,21.7,0.15,0.794,0.6561,0.9969,50.50634683,0,0,214.0099442
208.624,17,24,23,23.2,22.7,0.4011,3.8962,1.7735,7.9687,53.41834683,1,-4.817039552,226.3489272
210.673,20,21.9,22.1,21.2,21.7,0.0253,0.1009,0.13,0.0875,56.59914683,0.2,0.956744762,239.8268933
212.925,21,13.4,11.6,12.6,11.3,0.0083,0.0399,0.0527,0.0599,59.15274683,1.8,-8.590897329,250.6472323
213.057,22,23.8,21.9,23,21.6,0.0924,0.7972,0.7993,1.2134,59.86954683,1.9,-9.047359513,253.6845205
213.068,23,22.4,20.5,21.6,20.1,0.0064,0.0884,0.0729,0.1483,59.86954683,1.9,-9.026644916,253.6845205
214.325,24,22.3,21.8,21.5,21.5,0.0875,1.1857,0.6433,1.4935,60.67594683,0.5,-2.370006567,257.1014696
214.33,25,19.4,18.8,18.7,18.6,0.0428,0.2207,0.211,0.3037,61.16874683,0.6,-2.837525996,259.1896052
215.912,26,16,15.1,14.7,14.7,0.0212,0.0869,0.1146,0.1192,63.54314683,0.9,-4.246610386,269.2506222
217.571,27,17.1,16.6,16.4,16.3,0.0129,0.0607,0.0595,0.1043,64.34954683,0.5,-2.353875386,272.6675713
218.585,29,21.9,21.8,21.1,21.5,0.0378,0.1473,0.2675,0.1358,64.12554683,0.1,-0.468648542,271.7184188
219.326,30,16.9,16.4,16.1,16.1,0.0142,0.0997,0.0896,0.12,65.69354683,0.5,-2.337962311,278.3624866
219.43,31,21.9,22.1,21.1,21.8,0.0974,0.45,0.5092,0.6066,66.90314683,0.2,0.933082263,283.4879103
219.767,32,22,21.4,21.2,21.1,0.0979,0.55,0.5891,0.9466,67.08234683,0.6,-2.792967107,284.2472323
222.833,35,17.3,17.7,16.6,17.2,0.014,0.0923,0.13,0.2046,70.30794683,0.4,1.849530654,297.9150289
223.896,36,20.7,19.1,19.9,18.8,0.0211,0.1582,0.318,0.299,72.54794683,1.6,-7.381673661,307.4065544
224.03,38,19.9,18.7,19.2,18.3,0.0157,0.1135,0.1219,0.0931,72.32394683,1.2,-5.511745663,306.4574018
226.257,42,11.1,12.8,10.4,12.4,0.007,0.0178,0.0778,0.0605,74.11594683,1.7,7.739776748,314.0506222
226.702,43,22.2,23,21.4,22.7,0.0971,0.5178,1.0403,0.7014,75.10154683,0.8,3.634273829,318.2268933
227.036,44,23,20.8,22.2,20.3,0.0111,0.1339,0.2383,0.1716,75.72874683,2.2,-9.972420196,320.8845205
227.063,46,18.2,18,17.5,17.8,0.0125,0.0924,0.0771,0.12,74.83274683,0.2,-0.90263995,317.0879103
227.117,47,18.2,18,17.5,17.7,0.055,0.1544,0.2165,0.1187,75.23594683,0.2,-0.900680936,318.7963849
227.208,48,22.5,21.3,21.8,21,0.0693,0.3006,0.2996,0.5138,75.10154683,1.2,-5.392382448,318.2268933
227.248,49,20.6,18.6,19.9,18.2,0.0321,0.1776,0.1407,0.3175,75.23594683,2,-8.967883093,318.7963849
228.264,51,21.6,19.9,20.8,19.6,0.018,0.1432,0.2194,0.185,76.26634683,1.7,-7.589898066,323.1624866
228.419,52,24.5,22.5,23.7,22.1,0.2255,2.0065,4.5766,4.7006,75.77354683,2,-8.910120501,321.074351
228.612,53,22.7,20.6,22,20.4,0.0122,0.0962,0.1596,0.1679,75.95274683,2.1,-9.335582871,321.833673
228.617,54,23.5,21.5,22.8,21.1,0.025,0.206,0.4732,0.3376,76.44554683,2,-8.87202373,323.9218086
228.641,55,20.5,18.5,19.7,18.1,0.0092,0.0549,0.0646,0.0836,76.26634683,2,-8.853097251,323.1624866
230.269,56,22.4,21.4,21.6,21.1,0.1244,1.0752,0.7967,1.81,77.87914683,1,-4.417125675,329.9963849
230.494,58,23.4,25.3,22.7,25,0.173,0.9785,2.523,2.721,77.87914683,1.9,8.356959275,329.9963849
230.712,59,23.4,24.9,22.7,24.5,0.2503,0.9884,3.7174,3.0644,78.28234683,1.5,6.583644007,331.7048595
231.51,60,7.4,7.6,6.6,7.3,0.0169,0.0824,0.0716,0.0569,79.26794683,0.2,0.875966333,335.8811306
232.226,61,23.7,23.1,22.9,22.7,0.6141,4.4136,4.1653,6.7033,78.73034683,0.6,-2.622363813,333.6031645
232.565,62,21.5,20.2,20.7,19.9,0.0171,0.0936,0.0683,0.1243,80.11914683,1.3,-5.669845774,339.4879103
232.661,63,21.1,19.2,20.2,18.9,0.0207,0.0714,0.1554,0.0912,78.73034683,1.9,-8.269316484,333.6031645
233.022,64,22.1,20.2,21.3,19.9,0.0071,0.084,0.0948,0.1809,79.71594683,1.9,-8.252008058,337.7794357
234.431,65,10.7,12,9.9,11.5,0.0173,0.039,0.0812,0.0548,81.23914683,1.3,5.634317642,344.233673
234.779,66,18.6,18,17.8,17.7,0.0271,0.1592,0.2238,0.2729,81.05994683,0.6,-2.595034001,343.474351
234.855,67,23.4,23.1,22.7,22.8,0.3846,3.1363,2.6512,4.31,81.32874683,0.3,-1.294818127,344.613334
235.113,69,21.7,22.8,21.1,22.5,0.0907,0.357,0.708,0.7599,79.35754683,1.1,4.727997721,336.2607917
235.803,70,13.9,14.9,13.1,14.6,0.0112,0.0657,0.1427,0.1344,80.65674683,1,4.28929485,341.7658764
235.848,71,21.7,21.4,21,21.2,0.2603,1.128,1.4722,2.2945,80.65674683,0.3,-1.284133983,341.7658764
236.246,72,22.9,21.4,22.1,21.1,0.0743,0.5707,0.4537,0.4597,81.10474683,1.5,-6.407452201,343.6641815
237.227,74,15.8,15.8,15.2,15.6,0.0081,0.0585,0.0592,0.0814,81.73194683,0,0,346.3218086
237.23,75,22.1,21.8,21.3,21.6,0.0537,0.4523,0.3335,0.6943,80.34314683,0.3,-1.273624715,340.4370628
237.245,76,18.9,18.7,18.1,18.4,0.0113,0.0622,0.0513,0.1049,81.01514683,0.2,-0.847349481,343.2845205
237.59,77,20.2,21.6,19.5,21.3,0.114,0.3306,0.8081,0.7465,81.95594683,1.4,5.919360179,347.2709611
239.577,78,23.7,21.6,23,21.3,0.0557,0.3984,0.4653,1.0353,83.92714683,2.1,-8.860984723,355.6235035
239.624,79,22,22.2,21.2,21.9,0.0709,0.3224,0.3326,0.203,83.70314683,0.2,0.842190711,354.674351
239.64,80,21.9,21.8,21.2,21.4,0.0352,0.1812,0.168,0.139,83.65834683,0.1,-0.420242526,354.4845205
239.665,81,13.2,13.3,12.5,13,0.0085,0.045,0.0513,0.0447,84.28554683,0.1,0.419393143,357.1421476
242.146,84,16.3,18.6,15.6,18.3,0.0069,0.0259,0.0876,0.059,85.45034683,2.3,9.587905879,362.0777408
243.622,86,22.8,21.3,22.1,21,0.0403,0.3464,0.2186,0.2664,87.19754683,1.5,-6.22795828,369.4811306
243.655,87,24.2,22.8,23.4,22.8,0.1863,1.4926,1.4009,3.4905,86.88394683,1.4,-5.801153241,368.1523171
243.866,88,22.9,21.5,22.1,21.3,0.057,0.4043,0.6497,0.9658,87.19754683,1.4,-5.789591689,369.4811306
243.945,89,20.5,19.1,19.7,18.8,0.0117,0.1082,0.0915,0.0926,86.88394683,1.4,-5.778076129,368.1523171
244.006,90,19,18,18.2,17.6,0.0124,0.0855,0.0865,0.154,86.92874683,1,-4.119004491,368.3421476
244.29,91,21.7,19.9,20.9,19.6,0.0102,0.0821,0.0489,0.1217,87.19754683,1.8,-7.399519576,369.4811306
244.491,92,22.9,22.2,22.1,21.9,0.7407,6.3179,4.9051,10.3818,86.43594683,0.7,-2.871901337,366.254012
244.848,93,16.5,15.4,15.8,15.1,0.0446,0.1317,0.3201,0.2494,86.92874683,1.1,-4.504082287,368.3421476
245.768,95,21.2,21.3,20.4,21,0.0411,0.1846,0.2737,0.2585,87.69034683,0.1,0.407852387,371.5692662
245.904,96,23.4,23.5,22.7,23.2,0.4035,1.9655,3.2892,2.6295,88.09354683,0.1,0.407052304,373.2777408
246.831,97,24,23.1,23.3,22.7,0.3718,3.0736,2.9782,6.6323,87.86954683,0.9,-3.656298182,372.3285883
246.845,98,23.9,23,23.2,22.7,0.3027,2.468,1.7658,3.2861,87.28714683,0.9,-3.64915366,369.8607917
246.852,99,22.3,21.3,21.5,21,0.0952,0.4801,0.7173,1.0072,89.12394683,1,-4.046707784,377.6438425
247.333,100,15.6,14.7,14.7,13.8,0.0117,0.0609,0.0822,0.1171,88.81034683,0.9,-3.634948055,376.3150289
248.818,101,23,20.7,22.2,20.3,0.0039,0.0437,0.0476,0.0376,89.79594683,2.3,-9.271265875,380.4913001
248.828,102,23,20.6,22.2,20.3,0.0355,0.2289,0.2782,0.5896,89.52714683,2.4,-9.65560699,379.3523171
